Staphylococcus,0,,,,,
Streptococcus,0.94019107,,,,,
Haemophilus,0,,,,,
Klebsiella,0,,,,,
Enterobacter,0,,,,,
Corynebacterium,0,,,,,
Parvimonas,0.00111441,,,,,
Anaerococcus,0.00074294,,,,,
Snodgrassella,0,,,,,
Peptoniphilus,0.00228189,,,,,
Cutibacterium,0,,,,,
Stenotrophomonas,0,,,,,
Finegoldia,0,,,,,
Dolosigranulum,0,,,,,
Bacillus,0,,,,,
Delftia,0,,,,,
Plasticicumulans,0,,,,,
Ochrobactrum,0,,,,,
Neisseria,0.00127361,,,,,
Paracoccus,0,,,,,
Escherichia,0,,,,,
Laceyella,0,,,,,
Crinalium,0,,,,,
Fusobacterium,0,,,,,
Raoultella,0,,,,,
Aliterella,0,,,,,
Eubacterium,0,,,,,
Dialister,0,,,,,
Sphingopyxis,0,,,,,
Gemella,0,,,,,
Methylocaldum,0,,,,,
Porphyromonas,0,,,,,
Rubellimicrobium,0,,,,,
Neobacillus,0,,,,,
Cyanothece,0,,,,,
Moraxella,0,,,,,
Proteus,0,,,,,
Planifilum,0,,,,,
Gloeocapsa,0,,,,,
Baekduia,0,,,,,
Nitrosococcus,0,,,,,
Thioalkalivibrio,0,,,,,
Peptostreptococcus,0.04765652,,,,,
Sphingomonas,0,,,,,
Aggregatibacter,0.00084908,,,,,
Campylobacter,0,,,,,
Ectothiorhodospira,0,,,,,
,0,,,,,
Sporobacterium,0,,,,,
Citrobacter,0,,,,,
Pseudomonas,0,,,,,
Granulicatella,0,,,,,
Salmonella,0,,,,,
Allochromatium,0,,,,,
Cylindrospermum,0,,,,,
Negativicoccus,0,,,,,
Oscillatoria,0,,,,,
Anaerobium,0,,,,,
Methylobacterium,0,,,,,
,0,,,,,
Romboutsia,0,,,,,
Acinetobacter,0,,,,,
Geitlerinema,0,,,,,
Paenibacillus,0,,,,,
Prevotella,0.00589047,,,,,
Rahnella,0,,,,,
Moorea,0,,,,,
Rouxiella,0,,,,,
Herbiconiux,0,,,,,
Nakamurella,0,,,,,
Methylomagnum,0,,,,,
Anabaena,0,,,,,
Trichodesmium,0,,,,,
Acidihalobacter,0,,,,,
Kingella,0,,,,,
Pseudanabaena,0,,,,,
Geobacillus,0,,,,,
Zoogloea,0,,,,,
Algisphaera,0,,,,,
Methylococcus,0,,,,,
Tychonema,0,,,,,
Roseovarius,0,,,,,
Friedmanniella,0,,,,,
Calothrix,0,,,,,
Microcystis,0,,,,,
Comamonas,0,,,,,
Aminipila,0,,,,,
Litoreibacter,0,,,,,
Abiotrophia,0,,,,,
Yangia,0,,,,,
Rathayibacter,0,,,,,
Caedimonas,0,,,,,
Bulleidia,0,,,,,
Metallibacterium,0,,,,,
Lelliottia,0,,,,,
Catonella,0,,,,,
Actibacterium,0,,,,,
Halothiobacillus,0,,,,,
Carnobacterium,0,,,,,
Prosthecomicrobium,0,,,,,
Ancalomicrobium,0,,,,,
Thermicanus,0,,,,,
Leclercia,0,,,,,
Prolinoborus,0,,,,,
Inmirania,0,,,,,
Steroidobacter,0,,,,,
Algiphilus,0,,,,,
Anoxybacillus,0,,,,,
Bergeriella,0,,,,,
Hafnia,0,,,,,
Mizugakiibacter,0,,,,,
Phycisphaera,0,,,,,
Longilinea,0,,,,,
Acidicaldus,0,,,,,
Amnibacterium,0,,,,,
Liberibacter,0,,,,,
Chroococcidiopsis,0,,,,,
Cnuella,0,,,,,
Georgfuchsia,0,,,,,
Glaciihabitans,0,,,,,
Gloeothece,0,,,,,
Iphinoe,0,,,,,
Lactobacillus,0,,,,,
Lawsonella,0,,,,,
Loriellopsis,0,,,,,
Megasphaera,0,,,,,
Micrococcus,0,,,,,
Nitrosospira,0,,,,,
Novosphingobium,0,,,,,
Reyranella,0,,,,,
Rhodococcus,0,,,,,
Roseisolibacter,0,,,,,
Stenoxybacter,0,,,,,
Synechococcus,0,,,,,
Tepidisphaera,0,,,,,
Variovorax,0,,,,,
